LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.91,-73.94,2666,1,0
4.53,-74.16,16142,1,0
4.7,-74.2,2836,1,0
4.57,-74.17,7692;7688;6477;13416;6831;4870;12652;17214;10102;10085;10101;10086;19654;19655;6899;4059;196;6343;6359;12978;13409;16010;12688;10077;10319;15114;14443;10078,28,0
4.61,-74.19,17931;324;1883;19888;5399;8950;448;17626;264;14060;5007;262;692;6223;3302;4691;9741;15155;13681;50;4525;17489;17198,23,0
4.59,-74.12,2261;6065;4682;7654;18893;4922;7265;8292;7257;7664;8609;20586;998;495,14,0
4.96,-73.92,19727;18780;20091;18791;18772,5,0
4.59,-74.21,6901;8824;8042;8823;1613;8043;7204;566;7684,9,0
4.58,-74.11,6079;3253;2330;7290;16165;8763;20513;5671;6208;18690;14183;6034;7476;7400;281;6647;15397;6018;6029;5993;809;21328,22,0
4.64,-74.2,10087;9095;206;7124;1763;1779;10088;6524;13088;13111;16714;4782,12,0
4.57,-74.16,16001;8700;15380;6565;420;15609;19366;642;10181;10343;10344;6566;6137;5911;13306;449;1452;12462;13587;12647;12987;10753,22,0
4.51,-74.12,6809;1843;14180;6666;21830;13626;1649;5428;5444;13019;12920;4273,12,0
4.72,-74.12,3140;7738;7454;7450;7466;10364;12588;14708;18029;10363;2825;6001;11011;3583;7473;6506;555;11674;16124;173;98;588;4247,23,0
4.62,-74.07,13682;19169;21420;9902;7997;11787;7996;1050;19312;20495;8002;2907;16569;20302;22112;2392;3749;19545;12422,19,0
4.65,-74.17,2721;2214;17117;20148;10516;10515;1912;2445;22038;6429;11048;13225;11349;2737;9285,15,0
4.57,-74.22,5290;110;435;4467;8192;8513;8191;6897;8265;317;14894;14896;985;14542;5247;17488,16,0
4.77,-74.02,4249;4220;15550;1187,4,0
4.8,-74.11,17721;20236;20216;17825,4,0
4.73,-74.12,13327;997;19048;21186;6390;979,6,0
4.71,-74.23,20197;691;14540;766;14472;17958;21002;14535;20775,9,0
5.03,-73.99,19673;1104;21510;1287;1370;20753;1093;18528,8,0
4.81,-74.21,3180,1,0
